airport,iataCode,location,country
Hartsfield–Jackson Atlanta International Airport,ATL/KATL,"Atlanta, Georgia",United States
Beijing Capital International Airport,PEK/ZBAA,"Chaoyang-Shunyi, Beijing",China
Dubai International Airport,DXB/OMDB,"Garhoud, Dubai",United Arab Emirates
Los Angeles International Airport,LAX/KLAX,"Los Angeles, California",United States
Tokyo International Airport,HND/RJTT,"Ota, Tokyo",Japan
O'Hare International Airport,ORD/KORD,"Chicago, Illinois",United States
Heathrow Airport,LHR/EGLL,"Hillingdon, London",United Kingdom
Hong Kong International Airport,HKG/VHHH,"Chek Lap Kok, Hong Kong",China
Shanghai Pudong International Airport,PVG/ZSPD,"Pudong, Shanghai",China
Charles de Gaulle Airport,CDG/LFPG,"Paris (Roissy-en-France), Île-de-France",France
Dallas/Fort Worth International Airport,DFW/KDFW,"Dallas-Fort Worth, Texas",United States
Amsterdam Airport Schiphol,AMS/EHAM,"Haarlemmermeer, North Holland",The Netherlands
Frankfurt Airport,FRA/EDDF,"Frankfurt, Hesse",Germany
Istanbul Atatürk Airport,IST/LTBA,"Yesilköy, Istanbul",Turkey
Guangzhou Baiyun International Airport,CAN/ZGGG,"Baiyun-Huadu, Guangzhou, Guangdong",China
John F. Kennedy International Airport,JFK/KJFK,"Queens, New York City, New York",United States
Singapore Changi Airport,SIN/WSSS,"Changi, Singapore",Singapore
Denver International Airport,DEN/KDEN,"Denver, Colorado",United States
Seoul Incheon International Airport,ICN/RKSI,Incheon,Republic of Korea
Suvarnabhumi Airport,BKK/VTBS,"Bang Phli, Samut Prakan",Thailand
Indira Gandhi International Airport,DEL/VIDP,Delhi,India
Soekarno–Hatta International Airport,CGK/WIII,"Benda, Tangerang, Banten",Indonesia
San Francisco International Airport,SFO/KSFO,"San Francisco, California",United States
Kuala Lumpur International Airport,KUL/WMKK,"Sepang, Selangor",Malaysia
Madrid Barajas Airport,MAD/LEMD,"Barajas, Madrid",Spain
McCarran International Airport,LAS/KLAS,"Las Vegas, Nevada",United States
Chengdu Shuangliu International Airport,CTU/ZUUU,"Shuangliu-Wuhou, Chengdu, Sichuan",China
Seattle-Tacoma International Airport,SEA/KSEA,"SeaTac, Washington",United States
Chhatrapati Shivaji International Airport,BOM/VABB,"Mumbai, Maharashtra",India
Miami International Airport,MIA/KMIA,"Miami-Dade County, Florida",United States
